question,dataset,p,p_adj
q17,gemma,6.932918192976944e-124,6.932918192976944e-124
q17,gpt-oss,2.1296258279658585e-215,4.259251655931717e-215
q17,llama,1.4109727071789254e-175,1.8812969429052337e-175
q17,qwen,5.492360304817054e-220,2.1969441219268215e-219
q18,gemma,3.770104464570914e-80,7.540208929141828e-80
q18,gpt-oss,3.58712621470666e-69,4.782834952942213e-69
q18,llama,2.400562083094135e-13,2.400562083094135e-13
q18,qwen,3.0624827705384206e-136,1.2249931082153682e-135
q19,gemma,2.23846826549746e-135,8.95387306198984e-135
q19,gpt-oss,5.48084718007977e-32,7.307796240106361e-32
q19,llama,6.660017849246139e-05,6.660017849246139e-05
q19,qwen,1.4819474336219877e-87,2.9638948672439754e-87
