question,dataset,shift,p,p_adj
q10,gemma,0.4826121297854016,1.0891612608365731e-26,1.452215014448764e-26
q10,gpt-oss,0.7557769913979167,8.970010987050748e-101,1.7940021974101497e-100
q10,llama,0.43527186620400016,1.536095766749037e-21,1.536095766749037e-21
q10,qwen,0.766607316307664,3.3930922486638968e-105,1.3572368994655587e-104
q11,gemma,0.06355856098568528,0.30821618104978066,0.30821618104978066
q11,gpt-oss,0.6339556728990428,6.738373060295623e-65,1.3476746120591246e-64
q11,llama,0.6372265180123479,8.290832496956985e-67,3.316332998782794e-66
q11,qwen,0.5280591626704025,7.334621372457765e-44,9.77949516327702e-44
q12,gemma,0.7173873446145485,1.4783707671321626e-64,1.9711610228428834e-64
q12,gpt-oss,0.9051129763835015,1.3705435434613498e-107,5.482174173845399e-107
q12,llama,0.8312565398068701,1.9092968032997459e-90,3.8185936065994918e-90
q12,qwen,0.6427784396807339,3.7748193212849454e-58,3.7748193212849454e-58
q13,gemma,0.2507322389483005,6.370683474206461e-12,8.494244632275281e-12
q13,gpt-oss,0.6755216492972778,6.058988308296187e-115,2.423595323318475e-114
q13,llama,0.4742820337955596,3.1502591628622326e-46,6.300518325724465e-46
q13,qwen,0.25193560838271695,6.615351325925647e-10,6.615351325925647e-10
q14,gemma,0.28162432450613273,3.645211453490057e-11,3.645211453490057e-11
q14,gpt-oss,0.7232609069369389,8.248647697495325e-82,3.29945907899813e-81
q14,llama,0.4483199880266407,9.619387284475745e-29,1.2825849712634327e-28
q14,qwen,0.5271116891270713,1.8467119662416024e-39,3.693423932483205e-39
q15,gemma,0.2338821653483351,2.1916891105041365e-08,2.9222521473388486e-08
q15,gpt-oss,0.4456751858056155,9.267633382582778e-29,1.8535266765165556e-28
q15,llama,0.16826006399530663,6.549967879234121e-05,6.549967879234121e-05
q15,qwen,0.45650551071536283,2.4061422557188434e-30,9.624569022875374e-30
q16,gemma,0.8005578987501639,2.138197043974266e-112,4.276394087948532e-112
q16,gpt-oss,0.8715566953807294,3.9221152477999766e-136,1.5688460991199906e-135
q16,llama,0.5674482556820218,7.022601915357118e-49,7.022601915357118e-49
q16,qwen,0.6597636749234491,6.70500246713425e-67,8.940003289512334e-67
q3,gemma,0.3131701093889959,4.376691723952578e-25,4.376691723952578e-25
q3,gpt-oss,1.066479375333641,6.124876241562929e-158,1.2249752483125858e-157
q3,llama,1.1097049853549537,1.7363602149303118e-173,6.945440859721247e-173
q3,qwen,0.7800774499425459,1.4200764991905725e-85,1.8934353322540965e-85
q4,gemma,-0.2024266957381659,9.075114754508515e-14,9.075114754508515e-14
q4,gpt-oss,0.2981749889790423,1.4938341222519356e-14,1.9917788296692476e-14
q4,llama,0.5641196339850592,7.9193427751881705e-59,1.5838685550376341e-58
q4,qwen,0.7410149408442649,5.329457371560868e-108,2.1317829486243472e-107
q5,gemma,0.2538096769965805,3.9818498820138714e-09,3.9818498820138714e-09
q5,gpt-oss,0.5907531186331629,5.952545810876844e-80,1.1905091621753689e-79
q5,llama,0.4446547791087915,4.5786850019572487e-38,6.104913335942998e-38
q5,qwen,0.5919564880675794,1.881375211472411e-80,7.525500845889644e-80
q6,gemma,0.536995078204175,9.302422528664007e-56,1.2403230038218677e-55
q6,gpt-oss,0.6031803970970753,5.258081372321296e-79,1.0516162744642592e-78
q6,llama,0.3332298367328747,1.07452660520023e-15,1.07452660520023e-15
q6,qwen,0.6452983273016479,1.2878226212164237e-97,5.151290484865695e-97
q7,gemma,0.19892588135668765,1.3545168563342512e-07,1.806022475112335e-07
q7,gpt-oss,0.37221107991264424,2.4459608358255602e-42,4.8919216716511204e-42
q7,llama,0.085378551242005,0.046463949399805075,0.046463949399805075
q7,qwen,0.37461781878147704,3.5625166273805133e-43,1.4250066509522053e-42
q8,gemma,0.054285663223362035,0.7838132753381647,0.7838132753381647
q8,gpt-oss,0.4237200795891864,4.4635583147298083e-41,8.927116629459617e-41
q8,llama,0.24386854348085413,2.7858554705463425e-09,3.7144739607284568e-09
q8,qwen,0.6884613551607868,1.5960858327656934e-121,6.384343331062774e-121
q9,gemma,0.6889612209329335,2.8946504050111477e-98,1.1578601620044591e-97
q9,gpt-oss,0.6360129658186134,2.0030314415194552e-75,4.0060628830389104e-75
q9,llama,0.3732884214316794,6.824911745458594e-18,6.824911745458594e-18
q9,qwen,0.522896238983475,3.2708249698464378e-43,4.3610999597952504e-43
